"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
606192,"Hernández, Teoscar",1348,0.9059139784946236,941,"72.719622574",0.2841246290801186,0.3475026567481403,0.24258160237388723,0.1806588735387885,0.1261127596439169,"7.793889763",36,-29.580039114052767,407,0.30192878338278933,497,0.36869436201780414
605137,"Bell, Josh",1560,0.9059233449477352,1217,"72.651426814",0.3115384615384616,0.3294987674609696,0.257051282051282,0.1684470008216927,0.13141025641025642,"7.946341526",24,-37.12492823597941,343,0.21987179487179487,610,0.391025641025641
701538,"Merrill, Jackson",1554,0.9050669772859639,1143,"72.626691995",0.2483912483912484,0.28433945756780404,0.20913770913770913,0.14173228346456693,0.10424710424710425,"7.500510894",27,-36.73181819847383,411,0.2644787644787645,511,0.32882882882882886
682928,"Abrams, CJ",1717,0.9013123359580052,1303,"72.56228622",0.26092020966802576,0.3200306983883346,0.24286546301688994,0.1427475057559478,0.10832847990681421,"7.635599732",47,-21.34000150125651,414,0.24111822947000583,663,0.38613861386138615
672820,"Sosa, Lenyn",1148,0.9053627760252366,898,"72.542027073",0.2560975609756097,0.3363028953229399,0.26306620209059234,0.15701559020044542,0.12282229965156795,"7.453405131",10,-9.736612985458185,250,0.21777003484320556,457,0.3980836236933798
687401,"Ortiz, Joey",1098,0.9037037037037037,924,"72.513236047",0.25409836065573765,0.29004329004329005,0.24408014571949,0.1266233766233766,0.10655737704918032,"7.505799372",11,-31.344438068314215,174,0.15846994535519127,509,0.46357012750455373
521692,"Perez, Salvador",1850,0.9019990248659191,1402,"72.490501649",0.2632432432432433,0.32168330955777463,0.2437837837837838,0.16191155492154066,0.1227027027027027,"7.798532524",32,-49.42288708870095,448,0.24216216216216216,701,0.37891891891891893
668804,"Reynolds, Bryan",1814,0.9029367844698856,1344,"72.470813826",0.26074972436604194,0.31994047619047616,0.237045203969129,0.16294642857142858,0.1207276736493936,"6.970059824",73,-30.83946917368235,470,0.25909592061742004,625,0.34454244762954794
683011,"Volpe, Anthony",1226,0.9027982326951399,931,"72.389222659",0.26019575856443733,0.32653061224489793,0.24796084828711257,0.14930182599355532,0.1133768352365416,"7.227237708",16,-43.80712693313314,295,0.2406199021207178,453,0.3694942903752039
592663,"Realmuto, J.T.",1340,0.907859078590786,1032,"72.362011657",0.28283582089552234,0.31976744186046513,0.2462686567164179,0.14437984496124032,0.11119402985074626,"7.48319094",22,-48.2028198213489,308,0.2298507462686567,494,0.3686567164179104
607043,"Nimmo, Brandon",1689,0.9041755888650964,1309,"72.357663967",0.27235050325636473,0.35064935064935066,0.27175843694493784,0.1894576012223071,0.14683244523386618,"7.123005796",37,-35.97131941615867,380,0.22498519834221434,640,0.3789224393132031
608369,"Seager, Corey",1103,0.9040983606557377,790,"72.310770218",0.1903898458748867,0.35063291139240504,0.2511332728921124,0.1911392405063291,0.13689936536718042,"6.693435195",35,-22.8720024219358,313,0.28377153218495016,387,0.35086128739800543
665161,"Peña, Jeremy",1191,0.9043280182232346,882,"72.277174744",0.14777497900923595,0.38095238095238093,0.28211586901763225,0.17800453514739228,0.13182199832073888,"7.509798556",20,-3.563190703554781,309,0.2594458438287154,533,0.4475230898404702
673237,"Diaz, Yainer",1263,0.9040801717967072,998,"72.273485843",0.21536025336500395,0.35370741482965934,0.27949326999208235,0.16633266533066132,0.13143309580364212,"7.336667625",37,-17.099765318343714,265,0.20981789390340458,542,0.42913697545526525
657656,"Laureano, Ramón",1187,0.9019756838905775,869,"72.26559989",0.23420387531592254,0.30149597238204834,0.22072451558550968,0.1518987341772152,0.11120471777590564,"7.038551188",38,-11.782928256411191,318,0.2679022746419545,396,0.33361415332771693
672386,"Kirk, Alejandro",995,0.9095063985374772,817,"72.250181427",0.2592964824120604,0.3806609547123623,0.31256281407035175,0.19706242350061198,0.16180904522613065,"7.189028633",17,-23.734522268826176,178,0.17889447236180905,455,0.457286432160804
